"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Belgium","BEL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.3","1.3","1.4","1.4","1.4","1.5","1.5","1.5","1.6","1.6","","1.5","1.6","1.7","1.8","1.9","1.9","2","2.1","2.2","2.3","2.4","2.5","2.8","2.7","2.8","2.9","3","3.1","3.2","3.267","3.327","3.391","3.444","3.508","3.543","3.608","3.678","3.735","2.801","2.829","2.849","2.859","2.857","2.868","2.871","2.886","2.905","2.921","2.92","2.909","2.915","2.933","3.131","3.16","3.221","3.28","3.292","3.355","3.424","3.506","3.537","3.574","","","",
"Benin","BEN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.04","","","","","0.03","","","","","0.034","","","","","","","","","","0.059","0.059","","0.075","","0.073","","","","0.071","0.051","0.042","0.055","0.057","0.061","0.058","","","","","","","","","0.038","","","","0.059","","0.052","0.054","","","","","0.045","","0.073","0.06","","0.205","0.19","0.216","","",
"Burkina Faso","BFA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.011","","","","","0.014","","","","","0.01","","","","","","","","","","0.018","0.018","","0.018","","","0.004","","","0.029","","","","","","0.034","0.035","0.038","","","","0.04","","","0.052","","","","0.031","0.043","0.044","0.037","0.046","0.045","0.047","0.063","0.062","0.082","0.082","0.091","0.096","0.101","0.148","","","",
"Bangladesh","BGD","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","0.123","","","","","0.119","","","","","","","","","","0.12","","","","","0.154","0.144","","","","0.177","0.188","","","","0.201","","0.2","","","","0.238","","0.26","0.269","0.296","0.305","0.317","0.33","0.343","0.352","0.373","0.39","0.412","0.478","0.476","0.489","0.535","0.573","0.63","0.661","0.677","0.717","0.722","","",
"Bulgaria","BGR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.405","","","","","1.667","","","","","1.863","1.896","1.985","2.042","2.102","2.152","2.205","2.258","2.321","2.408","2.46","2.484","2.588","2.688","2.759","2.865","2.953","3.022","","","3.23","3.077","3.159","3.361","3.338","3.478","3.569","3.487","3.499","3.503","3.441","3.429","3.522","3.604","3.537","3.661","3.676","3.675","3.643","3.733","3.747","3.838","3.868","3.953","3.978","4.041","4.107","4.184","4.217","4.236","4.277","4.296","4.328","","","",
"Bahrain","BHR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.45","","","","","","","","","","0.429","","","","","","","","","","1.087","","","","","1.219","","","","","","1.315","","","","","","1","","","1.013","1.06","1.053","1.006","0.922","0.995","0.977","0.995","0.984","0.971","0.971","1.001","1.023","0.998","0.974","0.927","0.83","0.76","0.729","0.687","0.741","","","","","",
"Bahamas, The","BHS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.496","","","","","","","","","","0.76","","","","","","","","","","0.938","","","","0.943","","","","","","1.29","","","1.446","","1.49","1.518","","0.989","","","","","","","","","","2.645","","","2.233","","","","","","1.895","","","","","","","","",
"Bosnia and Herzegovina","BIH","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","1.033","1.089","1.17","1.207","1.28","1.362","1.419","1.485","","","1.581","1.576","","","","","","","","","1.312","1.303","1.3","1.33","1.372","1.409","1.46","1.54","1.59","1.674","1.749","1.839","1.914","1.997","2.083","2.107","2.146","2.163","2.457","2.584","","","","","","",
"Belarus","BLR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9109","2.8961","2.9409","2.9571","2.987","3.018","3.084","3.133","3.193","3.259","3.268","3.252","3.275","3.303","3.299","3.326","3.393","3.55","3.578","3.713","3.511","3.794","3.885","3.939","4.082","4.255","4.372","4.427","4.486","4.546","4.605","4.686","4.669","4.717","","",
"Belize","BLZ","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.242","","","","","","","","","","0.342","","","","","","","","","","","","","","0.272","","0.451","","0.472","","0.639","","","0.493","","0.6","0.548","","","","1.042","","","","","","","","","0.771","","","1.157","","","","","1.131","1.086","","","","","","","",
"Bermuda","BMU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","1.766","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.267","","","","","0.311","","","","","0.509","","","","","0.49","","","","","","0.523","","","0.697","","","","","","0.45","","","0.426","","0.34","","","","","","1.18","","","","","","0.327","","","0.433","0.461","","","","","1.569","1.016","","1.088","0.961","1.284","","","","",
"Brazil","BRA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.374","","","","","0.4","","","","","0.492","","","","","0.624","","","","","","0.767","","","0.927","1.467","","","1.185","","1.085","","1.14","1.168","1.197","1.227","1.259","1.295","1.281","1.379","","","","","","","","","","","","1.87","","1.906","","","","2.198","","2.351","","2.191","","2.357","","",
"Barbados","BRB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.329","","","","","","","","","","0.523","","","","","","","","","","","","","","0.891","","","","","","1.14","","","1.254","","1.366","","","","","1.393","1.601","","","","1.82","","","","","","","","","","","","2.541","","","2.616","2.871","2.958","","","",
"Brunei Darussalam","BRN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","0.3","","","","","","","","","","0.435","0.487","","","0.534","","","","","","","0.746","","","","","0.848","","","","1.029","","1.176","","1.312","1.087","1.094","1.06","1.493","1.156","1.435","1.522","1.469","1.595","1.485","1.75","","1.578","1.763","","","1.886","","","","",
"Bhutan","BTN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","0.125","0.102","","","","","","","","0.333","","","","0.17","0.16","","","","0.051","","","","","0.181","","","0.212","0.249","","","","0.271","0.28","0.333","0.339","0.4","0.31","0.421","0.336","0.486","0.561","0.553","","","",
"Botswana","BWA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.042","","","","","0.036","","","","","0.064","","","","","0.133","","","","","0.123","0.134","","0.144","","","","","0.2","0.194","","","","0.194","0.238","","","","0.264","0.309","0.298","0.298","0.307","0.296","0.396","0.253","0.315","0.371","0.367","0.348","0.403","0.395","0.388","","","","0.371","","0.402","0.395","0.433","0.422","0.407","0.379","","",
"Central African Republic","CAF","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.02","","","","","0.03","","","","","0.023","","","","","","","","","","0.043","0.044","0.043","","","","","","","0.039","0.038","","","0.055","","0.035","","","","","","","","","0.079","","","","0.0405","0.045","","","","","","0.07","","","0.069","","","0.022","0.029","0.074","","",
