feature,mean_abs_shap,rank
physician_density,1.9463997,1
protein_g_per_day,0.5881292,2
healthcare_pct_gdp,0.58716357,3
urbanization_pct,0.5328954,4
breastfeeding_exclusive_pct,0.5119208,5
gini_index,0.39920157,6
pm25_ug_m3,0.3868367,7
gdp_per_capita_ppp,0.3556955,8
caloric_intake_kcal,0.25288945,9
sanitation_pct,0.24288581,10
animal_protein_pct,0.21955636,11
